,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,969,0,2,0,0,0,0,0,29,0
automobile,0,986,0,0,0,0,0,0,6,8
bird,1,1,983,4,5,0,2,1,3,0
cat,2,1,7,939,8,31,5,0,6,1
deer,0,1,2,4,990,0,1,2,0,0
dog,1,0,4,50,7,931,2,2,3,0
frog,1,0,1,7,2,0,987,0,2,0
horse,1,0,1,2,4,2,0,986,4,0
ship,1,0,0,0,0,0,0,0,999,0
truck,1,27,0,0,0,0,0,0,19,953
