,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,978,1,1,3,0,0,0,0,15,2
automobile,0,977,0,0,0,0,0,0,0,23
bird,1,0,971,6,8,7,5,1,1,0
cat,0,0,2,955,3,30,8,0,2,0
deer,0,0,1,4,983,3,3,6,0,0
dog,0,0,1,32,6,956,1,3,0,1
frog,0,0,2,8,0,0,990,0,0,0
horse,0,0,0,5,7,4,1,983,0,0
ship,4,0,0,0,0,0,0,0,996,0
truck,1,10,0,0,0,0,0,0,7,982
